alpha,l1_ratio,mean_rmse,std_rmse,mean_r2,std_r2,fold_rmses,fold_r2s
0.1,0.1,1.396612790902416,0.02026638031238956,0.2222282771040417,0.058090404493611345,"[1.4232939479821143, 1.3923373184907917, 1.3742071062343426]","[0.1569003028044592, 0.21175371453572245, 0.2980308139719434]"
0.01,0.9,1.42051233259523,0.028650108223127014,0.19476901252509624,0.06939678998949005,"[1.45641275652061, 1.4188290417695852, 1.386295199495495]","[0.11720741560644232, 0.18147274593809715, 0.2856268760307492]"
0.1,0.5,1.4260256077518207,0.009999325762965774,0.19017895565481915,0.04235348601395856,"[1.4378453866704592, 1.4133926688871536, 1.4268387676978496]","[0.13957285218894, 0.1877332527255685, 0.24323076204994898]"
0.01,0.5,1.4326383931893636,0.023745278200849044,0.18135213355813987,0.0647183012531811,"[1.4629811210868051, 1.4299268247068588, 1.4050072337744266]","[0.10922673977581365, 0.16861797138589052, 0.26621168951271545]"
0.1,0.9,1.4391853969750061,0.016887095471753495,0.17567823840434685,0.03392875212691181,"[1.44551137149821, 1.4160788010891605, 1.455966018337648]","[0.13037352502447352, 0.18464291667499788, 0.21201827351356917]"
0.01,0.1,1.456710929086866,0.030186513923881678,0.15324426107335679,0.07305136934788971,"[1.496997576016099, 1.448797813867187, 1.4243373973773117]","[0.06732159316213715, 0.14652939147367872, 0.24588179858425452]"
0.001,0.5,1.5422441612680249,0.04533594417906041,0.04973967039341043,0.09821553129782262,"[1.6019053743083065, 1.5327464467171026, 1.4920806627786654]","[-0.06798079928821887, 0.04475748872589724, 0.17244232174255292]"
0.001,0.1,1.5424001752811278,0.04511334228236749,0.04962370294828226,0.09759193651147657,"[1.6028000234740176, 1.529996718012004, 1.4944037843573612]","[-0.06917404697489693, 0.04818180155073548, 0.16986335426900823]"
0.001,0.9,1.5433062313147714,0.046513811561874174,0.048260460649404334,0.10013741289260868,"[1.6029197062258758, 1.537582209773079, 1.4894167779453598]","[-0.06933372562201412, 0.038720464970843804, 0.1753946425993833]"
