alpha,l1_ratio,rmse_mean,rmse_std,n_splits
0.1,0.1,1.387327987445374,0.09356391750370881,5
0.01,0.9,1.4004936747096743,0.1129388614786547,5
0.01,0.5,1.4099340731055245,0.1176719596517505,5
0.1,0.5,1.4148718948284837,0.09230319521635372,5
0.3,0.1,1.4169397153738816,0.08953585436587903,5
0.1,0.9,1.4295861856175536,0.09035846667063549,5
0.01,0.1,1.4354919620605338,0.11863418662918745,5
0.3,0.5,1.4686820676642547,0.09033174425858956,5
1.0,0.1,1.4835868503216645,0.08433439653779379,5
0.3,0.9,1.5025848923959455,0.08561037705983351,5
3.0,0.1,1.5632804260857367,0.07576930926837445,5
1.0,0.5,1.5766994081563053,0.07150595168286496,5
1.0,0.9,1.5852237691230604,0.07233774781586465,5
3.0,0.5,1.5852237691230604,0.07233774781586465,5
3.0,0.9,1.5852237691230604,0.07233774781586465,5
10.0,0.1,1.5852237691230604,0.07233774781586465,5
10.0,0.5,1.5852237691230604,0.07233774781586465,5
10.0,0.9,1.5852237691230604,0.07233774781586465,5
