Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,predicted_rating
325,tt6758316,2021-08-08,2021-08-08,,Formula 1,Formula 1,https://www.imdb.com/title/tt6758316/,TV Series,9.4,,1950.0,"Action, Comedy, Drama, Reality-TV, Sport, Thriller",3771,1950-05-13 00:00:00,,12.072183601591819
513,tt4712810,2025-05-04,2025-05-04,,Now You See Me: Now You Don't,Now You See Me: Now You Don't,https://www.imdb.com/title/tt4712810/,Movie,,,2025.0,"Crime, Thriller",0,2025-11-14 00:00:00,Ruben Fleischer,11.314902731371237
189,tt0255558,2019-11-11,2019-11-11,,The Rumble in the Jungle,The Rumble in the Jungle,https://www.imdb.com/title/tt0255558/,Movie,8.4,80.0,1974.0,"Documentary, Sport",701,1974-10-30 00:00:00,,11.173027792751743
139,tt8509238,2019-04-04,2019-04-04,,Legally Blonde 3,Legally Blonde 3,https://www.imdb.com/title/tt8509238/,Movie,,,,Comedy,0,,Jamie Suk,11.15337319878428
532,tt33612209,2025-07-10,2025-07-10,,The Devil Wears Prada 2,The Devil Wears Prada 2,https://www.imdb.com/title/tt33612209/,Movie,,,2026.0,,0,2026-05-01 00:00:00,David Frankel,11.086878638832511
527,tt31888477,2025-07-10,2025-07-10,,Downton Abbey: The Grand Finale,Downton Abbey: The Grand Finale,https://www.imdb.com/title/tt31888477/,Movie,,123.0,2025.0,,0,2025-09-12 00:00:00,Simon Curtis,11.06292742329664
232,tt0071075,2020-02-20,2020-02-20,,The World at War,The World at War,https://www.imdb.com/title/tt0071075/,TV Series,9.2,52.0,1973.0,"Documentary, History, War",33725,1973-10-31 00:00:00,,11.04944473894266
528,tt6604188,2025-07-10,2025-07-10,,Tron: Ares,Tron: Ares,https://www.imdb.com/title/tt6604188/,Movie,,,2025.0,"Action, Adventure, Sci-Fi",0,2025-10-10 00:00:00,Joachim RÃ¸nning,10.99702563534873
535,tt27419466,2025-07-10,2025-07-10,,Moana,Moana,https://www.imdb.com/title/tt27419466/,Movie,,,2026.0,"Action, Adventure, Comedy, Family, Fantasy, Musical",0,2026-07-10 00:00:00,Thomas Kail,10.951078477327844
531,tt12042730,2025-07-10,2025-07-10,,Project Hail Mary,Project Hail Mary,https://www.imdb.com/title/tt12042730/,Movie,,,2026.0,Sci-Fi,0,2026-03-20 00:00:00,"Phil Lord, Christopher Miller",10.920114906948804
